StartLatitude,StartLongitude,StartTime,StartNH,EndNH,Covid
38.255,-85.75299999999999,2019-09-14T05:45:00Z,Downtown,Downtown,0
38.23,-85.704,2019-01-05T17:45:00Z,Southeast Core,Southeast Core,0
38.235,-85.758,2019-10-20T13:15:00Z,University,Other,0
38.218,-85.76299999999999,2019-10-13T08:30:00Z,University,West Core,0
38.236,-85.71700000000001,2019-03-15T18:15:00Z,Southeast Core,Southeast Core,0
38.204,-85.758,2019-04-03T11:45:00Z,University,University,0
38.215,-85.755,2019-02-14T11:15:00Z,University,University,0
38.253,-85.757,2018-10-21T16:00:00Z,Downtown,Downtown,0
38.258,-85.745,2019-07-04T15:15:00Z,Downtown,Downtown,0
38.24,-85.729,2018-09-27T15:00:00Z,Southeast Core,Southeast Core,0
38.257,-85.775,2019-06-28T08:00:00Z,Other,Other,0
38.251,-85.758,2019-09-08T14:45:00Z,Downtown,Downtown,0
38.258,-85.756,2019-07-06T17:45:00Z,Downtown,Downtown,0
38.253,-85.755,2019-10-19T09:45:00Z,Downtown,Downtown,0
38.253,-85.706,2018-10-13T18:30:00Z,Northeast Core,Northeast Core,0
38.252,-85.74600000000001,2019-05-25T11:30:00Z,Downtown,Downtown,0
38.233,-85.76299999999999,2019-10-25T17:15:00Z,University,University,0
38.237,-85.755,2019-03-13T16:45:00Z,University,University,0
38.247,-85.758,2019-10-24T19:30:00Z,Downtown,Downtown,0
38.217,-85.757,2019-10-23T10:45:00Z,University,University,0
38.204,-85.759,2019-02-18T12:45:00Z,University,University,0
38.258,-85.75,2019-07-14T11:45:00Z,Downtown,Southeast Core,0
38.221,-85.76299999999999,2019-01-08T10:45:00Z,West Core,University,0
38.257,-85.762,2019-07-13T14:00:00Z,Downtown,Downtown,0
38.258,-85.745,2019-10-25T07:45:00Z,Downtown,Downtown,0
38.257,-85.744,2019-10-12T18:00:00Z,Downtown,Downtown,0
38.226,-85.755,2019-05-17T06:45:00Z,University,Downtown,0
38.257,-85.757,2020-03-02T16:45:00Z,Downtown,Downtown,0
38.255,-85.744,2019-07-26T15:00:00Z,Downtown,Downtown,0
38.222,-85.704,2019-11-04T15:45:00Z,Southeast Core,Southeast Core,0
38.261,-85.73700000000001,2019-06-11T19:15:00Z,Northeast Core,Downtown,0
38.251,-85.757,2018-11-17T20:00:00Z,Downtown,Downtown,0
38.272,-85.73299999999999,2019-05-22T22:15:00Z,Other,Other,0
38.254,-85.74700000000001,2018-11-13T18:45:00Z,Downtown,Downtown,0
38.23,-85.70100000000001,2018-12-14T14:45:00Z,Southeast Core,Southeast Core,0
38.23,-85.70299999999999,2019-07-29T21:30:00Z,Southeast Core,Southeast Core,0
38.257,-85.755,2018-10-10T20:45:00Z,Downtown,Downtown,0
38.232,-85.71,2020-05-31T19:45:00Z,Southeast Core,Other,1
38.23,-85.70299999999999,2018-10-24T16:15:00Z,Southeast Core,Southeast Core,0
38.244,-85.759,2019-10-10T08:00:00Z,Downtown,Downtown,0
38.254,-85.757,2019-08-01T20:15:00Z,Downtown,Downtown,0
38.256,-85.751,2019-06-08T13:00:00Z,Downtown,Downtown,0
